Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Fiji,67805,874,65732.0,1199.0,74511.0,960.0,613582.0,674269.0,909996.0
Finland,1218216,5251,1160081.0,52884.0,219156.0,945.0,11237850.0,2021679.0,5558672.0
France,33993930,152457,32666444.0,1175029.0,518400.0,2325.0,271490188.0,4140162.0,65574769.0
French Guiana,92989,407,11254.0,81328.0,295358.0,1293.0,650106.0,2064910.0,314835.0
French Polynesia,75654,649,,,266111.0,2283.0,,,284295.0
Gabon,48511,306,47693.0,512.0,20773.0,131.0,1609218.0,689081.0,2335309.0
Gambia,12149,368,11591.0,190.0,4749.0,144.0,155686.0,60855.0,2558324.0
Georgia,1698020,16869,1637293.0,43858.0,427368.0,4246.0,16920079.0,4258553.0,3973199.0
Germany,31178705,144717,29455400.0,1578588.0,369667.0,1716.0,122332384.0,1450420.0,84342745.0
Ghana,168127,1457,166507.0,163.0,5185.0,45.0,2490032.0,76791.0,32426229.0
Gibraltar,19999,106,16579.0,3314.0,593971.0,3148.0,534283.0,15868221.0,33670.0
Greece,4474616,31377,4298606.0,144633.0,433717.0,3041.0,89320544.0,8657688.0,10316905.0
Greenland,11971,21,2761.0,9189.0,210110.0,369.0,164926.0,2894708.0,56975.0
Grenada,18822,234,18514.0,74.0,165671.0,2060.0,174451.0,1535512.0,113611.0
Guadeloupe,186380,971,2250.0,183159.0,465639.0,2426.0,938039.0,2343533.0,400267.0
Guatemala,1051398,19082,985475.0,46841.0,56505.0,1026.0,5374814.0,288859.0,18607025.0
Guinea,37408,445,36419.0,544.0,2696.0,32.0,660107.0,47572.0,13876030.0
Guinea-Bissau,8440,174,8151.0,115.0,4087.0,84.0,145231.0,70328.0,2065048.0
Guyana,70009,1271,68225.0,513.0,88120.0,1600.0,677998.0,853398.0,794469.0
Haiti,32464,838,30070.0,1556.0,2776.0,72.0,132422.0,11325.0,11692538.0
Honduras,444152,10940,132498.0,300714.0,43403.0,1069.0,1458053.0,142482.0,10233279.0
Hong Kong,1371938,9527,1233912.0,128499.0,179953.0,1250.0,54352132.0,7129205.0,7623870.0
Hungary,1987321,46886,1898374.0,42061.0,206814.0,4879.0,11394556.0,1185796.0,9609201.0
Iceland,202502,179,,,585498.0,518.0,1986628.0,5743974.0,345863.0
India,44107588,526600,43445624.0,135364.0,31320.0,374.0,876760536.0,622562.0,1408310338.0
Indonesia,6229315,157060,6021549.0,50706.0,22283.0,562.0,103952029.0,371844.0,279557933.0
Iran,7426030,142290,7091232.0,192508.0,86113.0,1650.0,53322294.0,618330.0,86235950.0
Iraq,2449440,25322,2401993.0,22125.0,58174.0,601.0,19096631.0,453540.0,42105689.0
Ireland,1647605,7662,1604869.0,35074.0,326074.0,1516.0,12546832.0,2483114.0,5052861.0
Isle of Man,37794,114,26794.0,10886.0,439608.0,1326.0,150753.0,1753513.0,85972.0
Israel,4594568,11399,4544809.0,38360.0,492662.0,1222.0,41373364.0,4436346.0,9326000.0
Italy,21213559,172729,19865536.0,1175294.0,351938.0,2866.0,238136571.0,3950741.0,60276425.0
Ivory Coast,85601,811,84587.0,203.0,3086.0,29.0,1584736.0,57126.0,27741134.0
